Id,Name,Est_diameter_min,Est_diameter_max,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object,Absolute_magnitude,Hazardous
3558385,(2011 EE17),0.082140053,0.183670741,59868.16329,34833280.16,Earth,False,22.55,0
3599934,(2012 DY32),0.077011393,0.172202709,47029.88892,39643746.5,Earth,False,22.69,0
54148940,(2010 NT81),0.134448195,0.300635304,49866.2894,43726629.05,Earth,False,21.48,1
3775251,(2017 MD),0.035039264,0.078350176,31570.2034,23556303.31,Earth,False,24.4,0
3753079,(2016 JH18),0.016016034,0.03581294,37241.80397,46710198.5,Earth,False,26.1,0
54017179,(2020 KZ2),0.007665756,0.017141151,20257.34298,19065200.21,Earth,False,27.7,0
54121895,(2021 CP8),0.096951599,0.216790366,76476.60272,69761021.82,Earth,False,22.19,0
3672904,(2014 KU76),0.211132445,0.472106499,32097.55534,68810773.68,Earth,False,20.5,0
3736000,(2015 XG55),0.007665756,0.017141151,46851.49575,71783153.59,Earth,False,27.7,0
3781725,(2017 SE12),0.011080388,0.024776501,30119.58838,60764126.14,Earth,False,26.9,0
54017418,(2020 LV),0.023150212,0.051765448,17202.88857,1784501.844,Earth,False,25.3,0
3744856,(2016 DQ2),0.080270317,0.179489885,67515.64019,25211719.53,Earth,False,22.6,0
54194339,(2021 RM5),0.013321557,0.029787906,34651.38652,33955487.39,Earth,False,26.5,0
3791338,(2017 XN60),0.020162992,0.045085821,25655.86257,1194301.849,Earth,False,25.6,0
54106530,(2021 BP1),0.003195619,0.007145621,41587.04817,29099838.08,Earth,False,29.6,0
3256323,(2004 TF10),0.172407032,0.385513844,40289.50046,27556864.11,Earth,False,20.94,0
3782066,(2017 TH1),0.021605035,0.048310327,31903.21487,6446205.294,Earth,False,25.45,0
54143218,(2021 JQ),0.046190746,0.103285648,35804.80478,8084194.425,Earth,False,23.8,0
3769877,(2017 DR35),0.014606796,0.03266179,19970.668,33682160.16,Earth,False,26.3,0
2612608,612608 (2003 SD201),0.670741189,1.499822895,50978.06191,44656763.47,Earth,False,17.99,0
3638505,(2013 JX28),0.253837029,0.567596853,37391.42153,10203662.15,Earth,False,20.1,0
54087441,(2020 VZ),0.04411182,0.098637028,40884.62324,51963743.54,Earth,False,23.9,0
3278402,(2005 KA),0.030517923,0.068240151,36541.56337,29825880.52,Earth,False,24.7,0
54053732,(2020 RK),0.023150212,0.051765448,54952.18832,28719165.73,Earth,False,25.3,0
2534676,534676 (2014 VK2),0.477040198,1.066694311,103997.4716,66172249.14,Earth,False,18.73,0
2141432,141432 (2002 CQ11),0.2658,0.594346868,74163.28753,35665825.99,Earth,False,20.0,1
54135429,(2021 GW3),0.005477154,0.012247289,34435.73505,30009071.78,Earth,False,28.43,0
54179305,(2021 PJ4),0.037372743,0.083567994,58554.08925,2581669.519,Earth,False,24.26,0
54096093,(2020 WD5),0.110803882,0.247765013,109348.7574,6506025.997,Earth,False,21.9,0
3825022,(2018 KL2),0.121494041,0.271668934,61584.57436,60765246.21,Earth,False,21.7,0
54054544,(2020 SY2),0.058150704,0.130028927,44696.90162,19410658.48,Earth,False,23.3,0
2538644,538644 (2016 FA4),0.333084924,0.744800533,131425.0853,45890001.65,Earth,False,19.51,0
3754439,(2016 NN15),0.012149404,0.027166893,30092.92993,3693868.512,Earth,False,26.7,0
54138704,(2021 HU),0.023150212,0.051765448,39098.98872,3730479.344,Earth,False,25.3,0
54053939,(2020 RD4),0.003051792,0.006824015,36748.65515,105773.548,Earth,False,29.7,0
3733138,(2015 VK1),0.012721988,0.02844723,47999.61783,52743661.99,Earth,False,26.6,0
2516155,516155 (2016 DP),0.246919266,0.552128263,101937.2493,63048344.07,Earth,False,20.16,1
3644816,(2013 NL10),0.073207399,0.163696721,37218.9394,25510466.58,Earth,False,22.8,0
3753473,(2016 JN34),0.22108281,0.494356193,80578.41547,62017617.93,Earth,False,20.4,0
3840739,(2019 FS2),0.009216266,0.020608196,22526.8715,30472504.05,Earth,False,27.3,0
3837977,(2019 BN1),0.152951935,0.342010925,66224.40148,26840227.28,Earth,False,21.2,0
3351834,(2006 UE17),0.110803882,0.247765013,34597.43024,69146511.23,Earth,False,21.9,0
3404494,(2008 DY22),0.038419789,0.08590926,38220.91718,59230480.1,Earth,False,24.2,0
3749072,(2016 GA3),0.029144391,0.065168838,20498.80293,31894242.55,Earth,False,24.8,0
54143560,(2021 JU1),0.030238133,0.067614522,10305.65286,9464163.567,Earth,False,24.72,0
